date,sales
2025-01-01,1280
2025-01-02,1315
2025-01-03,1258
2025-01-04,1189
2025-01-05,1422
2025-01-06,1505
2025-01-07,1470
2025-01-08,1524
2025-01-09,1492
2025-01-10,1588
2025-01-11,1660
2025-01-12,1712
2025-01-13,1635
2025-01-14,1698
2025-01-15,1755
2025-01-16,1721
2025-01-17,1810
2025-01-18,1892
2025-01-19,1845
2025-01-20,1920
2025-01-21,1888
2025-01-22,1975
2025-01-23,2010
2025-01-24,1985
2025-01-25,2102
2025-01-26,2205
2025-01-27,2160
2025-01-28,2250
2025-01-29,2325
2025-01-30,2288
2025-01-31,2405
2025-02-01,2450
2025-02-02,2512
2025-02-03,2475
2025-02-04,2590
2025-02-05,2635
2025-02-06,2580
2025-02-07,2715
2025-02-08,2790
2025-02-09,2835
2025-02-10,2902
2025-02-11,2875
2025-02-12,3010
2025-02-13,3055
2025-02-14,2988
2025-02-15,3120
2025-02-16,3185
2025-02-17,3250
2025-02-18,3215
2025-02-19,3330
2025-02-20,3388
2025-02-21,3450
2025-02-22,3525
2025-02-23,3492
2025-02-24,3605
2025-02-25,3680
2025-02-26,3725
2025-02-27,3790
2025-02-28,3905
2025-03-01,4020
2025-03-02,3955
2025-03-03,4102
2025-03-04,4188
2025-03-05,4250
2025-03-06,4325
2025-03-07,4288
2025-03-08,4405
2025-03-09,4510
2025-03-10,4588
2025-03-11,4625
2025-03-12,4690
2025-03-13,4785
2025-03-14,4902
2025-03-15,5050
2025-03-16,4988
2025-03-17,5120
2025-03-18,5255
2025-03-19,5190
2025-03-20,5325
2025-03-21,5405
2025-03-22,5488
2025-03-23,5550
2025-03-24,5625
2025-03-25,5705
2025-03-26,5790
2025-03-27,5855
2025-03-28,5988
2025-03-29,6105
2025-03-30,6050
2025-03-31,6220
